id,place_name,district,place_type,city,latitude,longitude,distance_from_vijayawada_km,distance_from_visakhapatnam_km,distance_from_tirupati_km,estimated_travel_time_hours,best_season,crowd_level,average_visit_duration_hours,entry_fee_inr,rating
10176,Prakasam Barrage Area,NTR,Caves,Vijayawada,16.503379,80.622792,3.1,359.7,406.8,0.1,June-September,Medium,5.2,0,4.1
10177,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,418.1,109.2,746.5,2.5,June-September,High,3.7,0,4.3
10178,Manginapudi Beach Region,Krishna,Waterfall,Machilipatnam,16.152106,81.183734,77.6,331.3,368.6,1.3,June-September,Low,4.0,0,3.9
10179,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,354.6,0.0,662.2,0.0,November-February,Very High,3.8,0,4.6
10180,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,354.8,419.7,0.0,October-March,Low,1.0,0,4.9
10181,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,38.7,403.1,377.6,0.7,June-September,High,1.2,0,4.6
10182,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,64.2,307.0,445.5,1.6,Year Round,Medium,4.4,0,3.6
10183,Veerabhadra Temple Region,Sri Sathya Sai,Temple,Lepakshi,13.794004,77.610472,488.7,849.7,229.9,5.8,July-October,High,3.0,0,4.1
10184,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,217.1,146.8,568.7,2.5,June-September,Low,4.0,0,4.3
10185,Yarada Beach Tourism Zone,Visakhapatnam,Beach,Visakhapatnam,17.680386,83.272972,368.6,7.0,661.9,0.2,Year Round,Low,2.8,0,3.9
10186,Draksharamam Temple Point,Kakinada,Temple,Draksharamam,16.806156,82.27015,218.0,175.1,529.4,3.1,November-February,High,2.5,200,4.2
10187,Srikurmam Temple View,Srikakulam,Temple,Srikurmam,18.283874,83.979026,492.4,119.0,853.4,2.5,June-September,Medium,4.1,0,4.9
10188,Kambalakonda Wildlife Sanctuary Region,Visakhapatnam,Wildlife,Visakhapatnam,17.826139,83.306098,347.9,19.4,750.0,0.4,October-March,High,1.6,30,4.6
10189,Tirumala Venkateswara Temple Tourism Zone,Tirupati,Landmark,Tirupati,13.709414,79.364152,360.2,660.9,11.9,0.3,December-February,Very High,4.4,0,4.7
10190,Kolleru Lake Point,Eluru,Lake,Eluru,16.641154,81.210677,70.1,293.0,422.5,1.4,July-October,Low,2.4,150,4.7
10191,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,412.9,847.4,241.9,6.0,July-October,High,2.1,0,4.9
10192,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,161.9,183.1,487.7,2.8,June-September,High,5.0,0,3.3
10193,Kondapalli Fort,NTR,Temple,Kondapalli,16.626953,80.530831,20.8,362.5,384.3,0.5,July-October,Low,5.8,50,4.0
10194,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,295.2,527.0,114.9,2.0,Year Round,Very High,4.3,0,3.2
10195,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,376.9,0.0,710.9,0.0,June-September,Very High,1.6,0,3.6
10196,Kailasagiri View,Visakhapatnam,Waterfall,Visakhapatnam,17.74054,83.350104,351.4,18.1,715.6,0.4,Year Round,High,5.7,50,4.9
10197,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,33.5,359.7,405.3,0.8,November-February,Very High,2.7,0,3.7
10198,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,346.1,0.0,749.5,0.0,October-March,High,1.0,0,4.3
10199,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,141.5,449.6,242.7,2.7,December-February,Medium,1.8,0,4.4
10200,Borra Caves Point,Alluri Sitharama Raju,Caves,Araku,18.267259,83.022265,378.8,76.2,743.9,1.7,July-October,Very High,4.9,10,4.2
10201,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,64.3,265.3,455.0,1.6,December-February,High,3.7,0,3.6
10202,Pulicat Lake Area,Tirupati,Landmark,Sullurpeta,13.584959,80.076903,401.2,699.8,78.8,1.8,December-February,Very High,3.9,0,4.0
10203,Manginapudi Beach Tourism Zone,Krishna,Beach,Machilipatnam,16.184507,81.124277,74.6,306.7,412.0,1.3,June-September,Very High,4.6,0,4.3
10204,Prakasam Barrage Area,NTR,Landmark,Vijayawada,16.502801,80.583977,8.3,357.5,392.3,0.2,November-February,High,4.9,0,4.9
10205,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,194.8,148.8,601.1,3.8,Year Round,Low,2.1,0,3.7
10206,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,36.0,371.8,381.5,0.7,November-February,Low,2.2,0,4.3
10207,Horsley Hills Point,Annamayya,Hill Station,Madanapalle,13.686444,78.422694,477.7,810.6,124.1,2.3,Year Round,Very High,1.4,20,4.1
10208,Ethipothala Waterfalls Area,Palnadu,Waterfall,Nagarjuna Sagar,16.091495,79.313551,178.5,546.1,295.8,3.6,July-October,Medium,2.7,10,4.9
10209,Annavaram Satyanarayana Temple View,Kakinada,Hill Station,Annavaram,17.697127,83.02036,323.0,22.4,688.0,0.6,June-September,High,3.4,50,4.1
10210,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,368.1,757.4,0.0,0.0,December-February,Low,5.9,0,4.1
10211,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,33.7,412.4,384.6,0.7,July-October,Low,1.5,0,4.3
10212,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,138.5,448.1,233.9,3.2,October-March,Very High,2.8,0,4.9
10213,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,287.5,662.1,248.1,6.4,December-February,Low,4.5,0,3.9
10214,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,332.7,694.8,134.7,2.7,July-October,Medium,2.1,0,4.6
10215,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,326.3,707.6,316.0,7.1,December-February,High,4.0,0,3.7
10216,Araku Valley View,Alluri Sitharama Raju,Hill Station,Araku,18.324708,82.889091,378.9,96.4,752.9,2.4,July-October,Medium,3.4,100,3.9
10217,Amaralingeswara Temple View,Palnadu,Temple,Amaravati,16.603762,80.344872,38.8,370.5,413.5,1.0,June-September,High,3.5,100,4.5
10218,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,275.9,572.3,133.4,2.5,Year Round,Low,2.6,0,4.1
10219,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,374.1,372.2,0.0,December-February,High,3.2,0,4.4
10220,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,144.0,512.8,258.1,2.6,November-February,Low,4.9,0,3.8
10221,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,288.6,620.4,129.4,2.3,December-February,Very High,2.9,0,4.0
10222,Kondapalli Fort View,NTR,Fort,Kondapalli,16.585195,80.570884,14.5,333.4,391.0,0.3,Year Round,High,2.3,200,4.6
10223,Kailasagiri Region,Visakhapatnam,Viewpoint,Visakhapatnam,17.72714,83.30864,339.4,13.0,727.9,0.3,July-October,High,3.0,0,3.8
10224,Belum Caves,Nandyal,Tourist Place,Belum,15.129609,78.140783,324.6,734.5,256.8,5.6,Year Round,Very High,5.2,200,4.5
10225,Simhachalam Temple Point,Visakhapatnam,Temple,Visakhapatnam,17.790872,83.236315,347.6,12.4,675.1,0.2,December-February,High,5.5,200,3.8
10226,Dwaraka Tirumala Temple View,Eluru,Tourist Place,Dwaraka Tirumala,16.947156,81.268433,91.1,275.5,483.8,2.4,November-February,Very High,3.7,200,4.1
10227,Belum Caves,Nandyal,Caves,Belum,15.123645,78.103567,343.6,654.0,250.9,6.2,June-September,Very High,2.4,30,4.4
10228,Borra Caves Area,Alluri Sitharama Raju,Caves,Araku,18.284643,83.015255,396.0,74.5,698.2,1.6,Year Round,High,5.5,50,4.8
10229,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,483.8,776.7,61.8,1.2,October-March,Very High,1.5,0,4.0
10230,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,39.5,391.0,388.7,0.9,July-October,Very High,2.5,0,4.7
10231,Tirumala Venkateswara Temple Area,Tirupati,Temple,Tirupati,13.664892,79.313075,376.7,727.6,14.5,0.4,July-October,Low,2.3,200,4.7
10232,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,354.9,415.0,0.0,November-February,Medium,2.5,0,4.5
10233,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,196.1,152.7,574.9,3.8,October-March,Medium,3.8,0,4.1
10234,Panakala Narasimha Swamy Temple Region,Guntur,Temple,Mangalagiri,16.419284,80.587772,13.1,332.3,390.6,0.3,July-October,High,4.3,30,3.7
10235,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,467.3,105.0,853.1,2.3,July-October,Very High,3.8,0,4.2
10236,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,390.0,58.6,778.5,1.0,July-October,High,3.2,0,4.7
10237,Gandikota Fort,YSR Kadapa,Fort,Gandikota,14.805186,78.304732,354.0,714.5,196.5,4.9,November-February,High,3.7,30,3.3
10238,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,460.2,852.4,118.5,2.4,October-March,Low,4.7,0,4.4
10239,Lepakshi Area,Sri Sathya Sai,Beach,Lepakshi,13.773032,77.634783,523.1,846.1,217.3,5.7,July-October,Low,3.5,0,3.7
10240,Bhavani Island Point,NTR,Tourist Place,Vijayawada,16.549542,80.589934,9.0,331.8,413.3,0.2,June-September,Medium,5.3,200,3.8
10241,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,280.4,621.5,285.1,6.6,Year Round,Low,4.7,0,4.3
10242,Vizianagaram Fort Area,Vizianagaram,Fort,Vizianagaram,18.121752,83.369947,423.1,62.1,736.6,1.2,December-February,Very High,1.3,10,3.6
10243,Kambalakonda Wildlife Sanctuary Tourism Zone,Visakhapatnam,Wildlife,Visakhapatnam,17.829965,83.270681,349.7,20.0,710.5,0.4,Year Round,Low,2.0,100,3.3
10244,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,368.0,662.3,138.3,3.5,July-October,Low,2.9,0,4.7
10245,Gandikota Fort Region,YSR Kadapa,Fort,Gandikota,14.78155,78.259503,380.3,753.3,193.5,3.6,December-February,High,3.6,200,4.3
10246,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,149.5,186.9,494.3,2.7,June-September,Very High,1.4,0,3.8
10247,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,278.5,600.1,256.6,5.0,November-February,Very High,3.2,0,4.0
10248,Talakona Waterfalls Tourism Zone,Tirupati,Waterfall,Tirupati,13.766657,79.105,427.4,747.3,44.3,0.8,December-February,Very High,4.1,10,3.7
10249,Araku Valley,Alluri Sitharama Raju,Hill Station,Araku,18.34732,82.893576,372.5,92.7,691.8,2.4,July-October,Very High,5.2,50,4.8
10250,Borra Caves View,Alluri Sitharama Raju,Caves,Araku,18.288703,83.070274,383.0,77.6,683.2,2.0,October-March,Medium,1.6,150,3.5
10251,Coringa Wildlife Sanctuary View,Kakinada,Wildlife,Kakinada,16.866013,82.220149,182.8,158.1,578.8,4.0,July-October,Low,5.9,20,4.0
10252,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,151.0,437.4,273.1,3.0,June-September,Very High,5.6,0,4.1
10253,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,415.5,746.5,273.9,5.0,December-February,Very High,4.5,0,4.2
10254,Tirumala Venkateswara Temple,Tirupati,Temple,Tirupati,13.649362,79.352512,378.3,656.0,8.3,0.2,November-February,Very High,4.6,10,4.5
10255,Rishikonda Beach Tourism Zone,Visakhapatnam,Beach,Visakhapatnam,17.809063,83.392121,343.6,28.6,755.2,0.6,July-October,Very High,5.8,0,4.5
10256,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,409.0,728.4,278.8,5.9,November-February,Medium,2.5,0,4.0
10257,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,447.3,782.6,259.4,6.3,November-February,Medium,2.9,0,3.6
10258,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,218.2,147.0,596.0,3.4,October-March,Medium,2.3,0,3.9
10259,Arasavalli Sun Temple,Srikakulam,Temple,Arasavalli,18.291643,83.898301,421.4,109.7,794.4,2.0,October-March,Low,2.3,50,4.2
10260,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,59.1,304.7,448.7,1.1,July-October,Low,2.3,0,4.7
10261,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,264.1,580.0,129.8,2.7,July-October,Very High,3.1,0,4.2
10262,Dwaraka Tirumala Temple Area,Eluru,Wildlife,Dwaraka Tirumala,16.950302,81.263202,99.6,253.1,465.8,2.0,October-March,Low,2.7,0,3.2
10263,Vizianagaram Fort Point,Vizianagaram,Caves,Vizianagaram,18.140702,83.387633,428.5,63.9,816.8,1.4,December-February,High,1.9,20,4.0
10264,Arasavalli Sun Temple Region,Srikakulam,Viewpoint,Arasavalli,18.303736,83.897527,477.9,107.6,742.4,2.5,Year Round,Very High,1.3,0,3.2
10265,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,364.4,717.8,125.6,2.6,Year Round,Very High,5.0,0,4.5
10266,Pulicat Lake Tourism Zone,Tirupati,Lake/Wildlife,Sullurpeta,13.575537,80.050124,400.6,614.6,84.3,1.8,Year Round,Very High,5.5,200,3.9
10267,Vizianagaram Fort,Vizianagaram,Fort,Vizianagaram,18.079024,83.425837,404.6,55.0,730.7,1.3,December-February,Medium,5.1,30,3.7
10268,Lambasingi Point,Alluri Sitharama Raju,Hill Station,Lambasingi,17.845654,82.579873,296.2,85.2,706.7,1.6,June-September,Low,3.6,50,4.4
10269,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,149.9,195.1,525.4,3.8,October-March,High,3.7,0,4.0
10270,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,377.8,0.0,729.8,0.0,November-February,High,3.8,0,3.6
10271,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,37.8,366.3,358.5,0.7,July-October,Medium,5.3,0,4.3
10272,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,358.6,668.7,128.7,2.8,November-February,High,2.0,0,5.0
10273,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,240.2,619.8,343.7,6.0,Year Round,High,5.6,0,3.6
10274,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,304.0,670.3,275.7,4.8,October-March,Very High,1.0,0,4.9
10275,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,33.5,350.9,396.3,0.7,October-March,Medium,5.0,0,3.5
10276,Kambalakonda Wildlife Sanctuary,Visakhapatnam,Heritage,Visakhapatnam,17.783394,83.312519,367.9,15.9,760.0,0.3,June-September,Medium,5.5,20,4.6
10277,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,317.0,652.6,324.6,7.5,December-February,High,5.1,0,3.6
10278,Sri Kalahasti Temple,Tirupati,Temple,Srikalahasti,13.726557,79.67511,389.7,702.7,33.8,0.8,December-February,High,4.8,20,4.4
10279,Tirumala Venkateswara Temple,Tirupati,Temple,Tirupati,13.685759,79.342789,386.4,685.8,11.8,0.2,Year Round,Very High,5.0,30,4.1
10280,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,414.2,59.5,704.5,1.1,July-October,Very High,1.3,0,4.8
10281,Borra Caves,Alluri Sitharama Raju,Caves,Araku,18.261357,83.056665,388.8,82.5,733.7,2.0,July-October,Very High,2.0,20,3.3
10282,Kanipakam Temple Tourism Zone,Chittoor,Temple,Kanipakam,13.24874,79.16872,438.9,755.4,58.6,1.4,October-March,Very High,5.6,10,4.3
10283,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,422.9,814.0,107.5,2.4,December-February,Low,3.1,0,4.3
10284,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,421.4,829.2,259.9,6.6,Year Round,Medium,5.1,0,4.0
10285,Annavaram Satyanarayana Temple Region,Kakinada,Temple,Annavaram,17.709789,83.023812,309.7,24.0,688.1,0.6,October-March,Very High,1.5,100,4.7
10286,Draksharamam Temple View,Kakinada,Temple,Draksharamam,16.790346,82.250846,208.9,160.0,571.1,2.8,December-February,Low,1.6,10,4.7
10287,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,420.7,62.7,721.8,1.1,Year Round,High,1.7,0,4.2
10288,Kambalakonda Wildlife Sanctuary Region,Visakhapatnam,Landmark,Visakhapatnam,17.779426,83.277105,364.5,15.0,678.6,0.3,October-March,High,4.6,0,4.5
10289,Kanipakam Temple Tourism Zone,Chittoor,Beach,Kanipakam,13.275852,79.119943,449.4,817.5,54.3,0.9,June-September,Very High,3.6,0,4.0
10290,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,60.4,296.8,475.3,1.2,July-October,Very High,3.1,0,4.8
10291,Annavaram Satyanarayana Temple,Kakinada,Temple,Annavaram,17.711234,83.011288,324.7,24.3,655.3,0.5,July-October,High,1.3,10,3.5
10292,Kolleru Lake Tourism Zone,Eluru,Lake,Eluru,16.665899,81.183337,71.8,256.6,478.4,1.3,July-October,Very High,1.4,20,4.7
10293,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,446.0,106.0,787.2,2.6,October-March,Medium,4.4,0,3.9
10294,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,436.6,103.9,854.8,2.0,June-September,Very High,5.5,0,3.9
10295,Veerabhadra Temple Point,Sri Sathya Sai,Temple,Lepakshi,13.770606,77.601351,507.9,780.9,242.5,5.4,November-February,High,5.3,200,3.8
10296,Kambalakonda Wildlife Sanctuary Area,Visakhapatnam,Wildlife,Visakhapatnam,17.825302,83.299861,386.1,18.6,707.1,0.4,December-February,Very High,5.5,10,4.0
10297,Srisailam Mallikarjuna Temple Tourism Zone,Nandyal,Temple,Srisailam,16.056353,78.837337,238.7,609.4,315.0,6.0,Year Round,Medium,5.0,30,4.4
10298,Lambasingi Tourism Zone,Alluri Sitharama Raju,Hill Station,Lambasingi,17.852457,82.534685,278.6,84.6,713.8,1.7,November-February,High,1.9,100,3.6
10299,Prakasam Barrage,NTR,Landmark,Vijayawada,16.541049,80.631321,4.7,327.9,422.4,0.1,July-October,High,3.3,0,4.3
10300,Araku Valley Area,Alluri Sitharama Raju,Hill Station,Araku,18.335443,82.861204,377.3,96.6,723.4,1.8,October-March,High,2.6,50,4.6
10301,Kondapalli Fort View,NTR,Fort,Kondapalli,16.643061,80.560336,20.7,344.1,430.4,0.4,June-September,Low,2.5,20,4.3
10302,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,437.4,116.3,785.7,2.4,November-February,Medium,3.7,0,3.6
10303,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,201.1,154.6,545.2,3.3,July-October,Very High,2.3,0,4.3
10304,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,417.6,62.0,796.3,1.5,December-February,Medium,2.0,0,4.7
10305,Gandikota Fort Tourism Zone,YSR Kadapa,Fort,Gandikota,14.820625,78.277239,350.7,745.5,196.1,3.6,June-September,Very High,2.9,0,3.4
10306,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,57.6,310.7,470.7,1.2,June-September,Medium,2.8,0,3.9
10307,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,358.1,671.9,334.7,6.2,November-February,Low,4.0,0,4.0
10308,Coringa Wildlife Sanctuary Region,Kakinada,Wildlife,Kakinada,16.866582,82.26111,218.9,160.2,509.1,3.4,October-March,Very High,1.1,0,4.8
10309,Kanaka Durga Temple,NTR,Heritage,Vijayawada,16.536859,80.629959,4.4,338.8,431.0,0.1,June-September,Very High,2.8,20,4.2
10310,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,285.6,593.2,115.5,2.8,July-October,Very High,4.9,0,4.0
10311,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,325.1,0.0,722.9,0.0,June-September,Low,3.4,0,3.7
10312,Lambasingi Region,Alluri Sitharama Raju,Hill Station,Lambasingi,17.879423,82.534743,309.7,82.8,652.9,1.5,Year Round,Very High,5.1,200,4.3
10313,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,59.9,310.4,410.2,1.4,December-February,Low,2.7,0,4.1
10314,Arasavalli Sun Temple Area,Srikakulam,Nature,Arasavalli,18.286484,83.891144,434.7,112.2,794.5,2.6,November-February,Medium,2.0,0,3.9
10315,Manginapudi Beach Area,Krishna,Beach,Machilipatnam,16.169856,81.130817,78.4,340.1,406.4,1.4,December-February,Very High,3.7,0,3.8
10316,Kambalakonda Wildlife Sanctuary Tourism Zone,Visakhapatnam,Wildlife,Visakhapatnam,17.821897,83.312736,334.6,20.8,696.7,0.4,Year Round,Very High,4.3,10,3.4
10317,Undavalli Caves Region,NTR,Famous City,Vijayawada,16.474747,80.605745,7.0,365.9,382.3,0.2,July-October,Very High,1.1,0,3.5
10318,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,207.5,151.8,506.4,2.9,July-October,Medium,5.0,0,4.4
10319,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,61.9,277.5,461.8,1.5,November-February,Very High,4.5,0,4.1
10320,Lepakshi Tourism Zone,Sri Sathya Sai,Heritage,Lepakshi,13.822569,77.613289,546.6,846.9,231.4,4.8,Year Round,Medium,5.1,20,3.4
10321,Yarada Beach Tourism Zone,Visakhapatnam,Tourist Place,Visakhapatnam,17.663206,83.292156,338.1,9.2,660.1,0.2,June-September,High,3.9,50,3.6
10322,Simhachalam Temple Region,Visakhapatnam,Temple,Visakhapatnam,17.77622,83.26135,381.5,11.8,682.9,0.2,June-September,Medium,5.2,30,4.8
10323,Talakona Waterfalls Area,Tirupati,Waterfall,Tirupati,13.782055,79.085927,388.5,689.7,48.4,1.0,July-October,High,4.8,200,5.0
10324,Srisailam Mallikarjuna Temple View,Nandyal,Temple,Srisailam,16.05461,78.886244,238.9,561.5,295.3,4.5,December-February,Low,2.7,20,4.7
10325,Prakasam Barrage View,NTR,Landmark,Vijayawada,16.540221,80.630635,5.0,369.9,370.6,0.1,October-March,Medium,1.3,0,4.0
10326,Kanaka Durga Temple Area,NTR,Temple,Vijayawada,16.499845,80.618844,3.7,367.4,376.0,0.1,December-February,High,3.5,200,3.2
10327,Machilipatnam,Krishna,Famous City,Machilipatnam,16.1875,81.1389,71.5,333.3,369.8,1.4,November-February,High,2.7,0,4.4
10328,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,208.6,569.9,340.0,5.0,Year Round,Low,4.7,0,4.7
10329,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,167.9,179.5,534.1,3.6,October-March,High,6.0,0,3.7
10330,Belum Caves View,Nandyal,Nature,Belum,15.099785,78.144473,337.9,685.5,253.5,5.1,November-February,Very High,5.4,0,4.6
10331,Manginapudi Beach Area,Krishna,Beach,Machilipatnam,16.137859,81.170947,79.8,299.4,372.5,1.7,Year Round,High,5.0,0,3.5
10332,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,276.5,624.2,258.8,5.1,November-February,Medium,2.5,0,4.3
10333,Bhavani Island Point,NTR,Tourist Place,Vijayawada,16.534491,80.59073,8.4,350.3,405.5,0.2,December-February,Low,3.6,0,4.5
10334,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,327.0,714.9,355.9,7.9,October-March,High,1.0,0,4.7
10335,Talakona Waterfalls Region,Tirupati,Waterfall,Tirupati,13.815148,79.137072,394.4,759.5,39.4,0.8,November-February,Medium,1.0,0,4.1
10336,Borra Caves Region,Alluri Sitharama Raju,Caves,Araku,18.314865,83.024885,384.8,86.9,765.5,1.5,November-February,High,5.4,200,3.9
10337,Borra Caves Region,Alluri Sitharama Raju,Caves,Araku,18.248592,83.054923,372.5,80.3,700.9,1.5,July-October,Low,1.9,10,4.0
10338,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,465.7,758.8,268.5,6.4,July-October,High,4.4,0,4.2
10339,Coringa Wildlife Sanctuary,Kakinada,Wildlife,Kakinada,16.842768,82.255076,214.1,166.1,570.0,3.7,December-February,Low,5.6,150,4.7
10340,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,61.1,274.4,410.0,1.1,December-February,High,3.0,0,4.7
10341,Arasavalli Sun Temple Tourism Zone,Srikakulam,Temple,Arasavalli,18.292886,83.881206,425.0,117.2,838.0,2.3,June-September,Very High,2.4,50,3.9
10342,Veerabhadra Temple Tourism Zone,Sri Sathya Sai,Temple,Lepakshi,13.768227,77.638451,508.7,825.8,228.3,5.7,October-March,Low,4.3,100,3.7
10343,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,37.6,348.6,399.1,0.9,November-February,High,2.6,0,4.3
10344,Tirumala Venkateswara Temple View,Tirupati,Temple,Tirupati,13.657913,79.36853,421.9,700.5,7.1,0.2,July-October,Very High,5.4,200,3.8
10345,Belum Caves Point,Nandyal,Caves,Belum,15.079197,78.096161,389.2,726.8,268.6,6.3,Year Round,Low,2.0,200,3.8
10346,Sri Kalahasti Temple Point,Tirupati,Temple,Srikalahasti,13.772574,79.71745,392.7,618.4,41.2,0.9,November-February,Low,1.9,50,4.8
10347,Amaravati Tourism Zone,Palnadu,Fort,Amaravati,16.541614,80.328725,39.2,404.3,398.7,0.8,October-March,Low,4.9,50,4.5
10348,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,350.8,424.0,0.0,November-February,Very High,4.1,0,3.7
10349,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,403.1,53.7,798.4,1.0,June-September,Very High,3.4,0,3.7
10350,Srisailam Mallikarjuna Temple View,Nandyal,Temple,Srisailam,16.038687,78.899959,236.6,585.0,313.3,5.5,June-September,Very High,3.3,30,4.8
10351,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,315.2,680.4,127.9,3.1,Year Round,Very High,2.1,0,4.1
10352,Srikurmam Temple Point,Srikakulam,Caves,Srikurmam,18.254814,83.917526,423.6,108.9,815.1,2.2,June-September,Very High,1.3,50,3.4
10353,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,426.4,746.4,111.0,2.0,October-March,Low,4.6,0,4.1
10354,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,378.4,0.0,669.3,0.0,October-March,Very High,3.9,0,3.6
10355,Yarada Beach View,Visakhapatnam,Famous City,Visakhapatnam,17.65166,83.254828,357.1,6.0,702.9,0.1,June-September,High,5.8,0,4.6
10356,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,452.9,811.3,64.3,1.5,December-February,High,5.8,0,3.8
10357,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,355.7,392.9,0.0,October-March,High,2.2,0,4.5
10358,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,236.8,541.7,336.2,4.1,July-October,High,4.3,0,4.7
10359,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,311.4,650.6,254.0,6.7,October-March,Very High,1.6,0,3.7
10360,Prakasam Barrage Region,NTR,Landmark,Vijayawada,16.493695,80.606534,5.4,343.1,368.1,0.1,Year Round,Low,2.6,0,4.6
